time,elec
2019-01-28 0:00,2547.16
1:00:00,2616.736
2:00:00,2635.456
3:00:00,2607.456
4:00:00,2628.368
5:00:00,3884.504
6:00:00,4250.168
7:00:00,4866.712
8:00:00,5167.048
9:00:00,4918.096
10:00:00,4860.32
11:00:00,4697.92
12:00:00,4674.72
13:00:00,4665.792
14:00:00,4606.768
15:00:00,4678.128
16:00:00,4783.84
17:00:00,4853.568
18:00:00,4704.032
19:00:00,4372.752
20:00:00,4004.976
21:00:00,3952.736
22:00:00,2945.472
23:00:00,2793.808
2019-01-29 0:00,2759.488
1:00:00,2750.8
2:00:00,2718.736
3:00:00,2707.424
4:00:00,2690.432
5:00:00,3990.416
6:00:00,4374.08
7:00:00,4957.328
8:00:00,5324.992
9:00:00,5166.096
10:00:00,4933.872
11:00:00,4841.776
12:00:00,4770.384
13:00:00,4865.632
14:00:00,4712.848
15:00:00,4782.96
16:00:00,4821.936
17:00:00,4914.4
18:00:00,4848.512
19:00:00,4399.424
20:00:00,3474.56
21:00:00,3363.072
22:00:00,2952.704
23:00:00,2779.872
2019-01-30 0:00,2711.776
1:00:00,2724.256
2:00:00,2718.112
3:00:00,2690.432
4:00:00,3039.904
5:00:00,3981.984
6:00:00,4325.76
7:00:00,4949.92
8:00:00,5303.616
9:00:00,5117.056
10:00:00,4946.912
11:00:00,4907.136
12:00:00,4772.064
13:00:00,4812.608
14:00:00,4693.088
15:00:00,4793.632
16:00:00,4824
17:00:00,4761.792
18:00:00,4692.864
19:00:00,4374.624
20:00:00,3426.4
21:00:00,3177.856
22:00:00,2999.136
23:00:00,2923.776
2019-01-31 0:00,2819.712
1:00:00,2829.408
2:00:00,2785.408
3:00:00,2789.408
4:00:00,2781.248
5:00:00,4004.288
6:00:00,4331.2
7:00:00,4893.344
8:00:00,5310.336
9:00:00,5215.232
10:00:00,5069.056
11:00:00,4944.608
12:00:00,5014.912
13:00:00,4961.664
14:00:00,4849.088
15:00:00,4888.992
16:00:00,5024.96
17:00:00,4955.296
18:00:00,4802.368
19:00:00,4406.336
20:00:00,3402.816
21:00:00,3324.832
22:00:00,3047.776
23:00:00,2905.248
2019-02-01 0:00,2802.24
1:00:00,2819.328
2:00:00,2826.784
3:00:00,2786.816
4:00:00,2797.856
5:00:00,4127.424
6:00:00,4470.176
7:00:00,4994.656
8:00:00,5278.208
9:00:00,4929.792
10:00:00,4866.816
11:00:00,4810.432
12:00:00,4827.008
13:00:00,4909.76
14:00:00,4777.6
15:00:00,4801.536
16:00:00,4681.408
17:00:00,4566.08
18:00:00,4553.6
19:00:00,4262.144
20:00:00,3130.56
21:00:00,2984.64
22:00:00,2522.56
23:00:00,2429.376
2019-02-02 0:00,2375.296
1:00:00,2404.48
2:00:00,2396.16
3:00:00,2389.696
4:00:00,2368.128
5:00:00,2760.32
6:00:00,2764.544
7:00:00,2805.056
8:00:00,2579.2
9:00:00,2492.544
10:00:00,2505.856
11:00:00,2368.32
12:00:00,2328.128
13:00:00,2370.56
14:00:00,2401.664
15:00:00,2256.832
16:00:00,2342.464
17:00:00,2419.456
18:00:00,2465.28
19:00:00,2353.472
20:00:00,2314.624
21:00:00,2300.352
22:00:00,2266.816
23:00:00,2270.592
2019-02-03 0:00,2258.112
1:00:00,2233.984
2:00:00,2218.624
3:00:00,2232.448
4:00:00,2283.904
5:00:00,2268.864
6:00:00,2319.488
7:00:00,2276.416
8:00:00,2276.16
9:00:00,2302.912
10:00:00,2306.816
11:00:00,2307.904
12:00:00,2323.648
13:00:00,2328.96
14:00:00,2317.568
15:00:00,2327.168
16:00:00,2331.84
17:00:00,2319.68
18:00:00,2318.976
19:00:00,2314.304
20:00:00,2296.256
21:00:00,2249.536
22:00:00,2256.704
23:00:00,2249.728
2019-02-04 0:00,2202.688
1:00:00,2272.64
2:00:00,2326.784
3:00:00,2309.312
4:00:00,2257.984
5:00:00,2286.144
6:00:00,2302.144
7:00:00,2252.096
8:00:00,2173.312
9:00:00,2026.304
10:00:00,1937.856
11:00:00,1872.64
12:00:00,1830.848
13:00:00,1814.592
14:00:00,1906.752
15:00:00,1980.928
16:00:00,2122.496
17:00:00,2194.944
18:00:00,2279.04
19:00:00,2272.96
20:00:00,2263.552
21:00:00,2240.64
22:00:00,2239.296
23:00:00,2205.184
2019-02-05 0:00,2176.96
1:00:00,2188.352
2:00:00,2159.232
3:00:00,2176.96
4:00:00,2216.32
5:00:00,2327.936
6:00:00,2322.496
7:00:00,2298.816
8:00:00,2231.296
9:00:00,2058.176
10:00:00,1916.352
11:00:00,1807.36
12:00:00,1716.416
13:00:00,1753.472
14:00:00,1776.064
15:00:00,1929.344
16:00:00,2021.312
17:00:00,2108.224
18:00:00,2160.384
19:00:00,2132.864
20:00:00,2131.776
21:00:00,2132.992
22:00:00,2122.368
23:00:00,2125.44
2019-02-06 0:00,2089.6
1:00:00,2098.368
2:00:00,2082.752
3:00:00,2098.944
4:00:00,2111.232
5:00:00,2204.352
6:00:00,2222.784
7:00:00,2259.84
8:00:00,2142.528
9:00:00,2119.36
10:00:00,2110.4
11:00:00,2052.8
12:00:00,2092.352
13:00:00,2104.576
14:00:00,2176.192
15:00:00,2206.208
16:00:00,2236.16
17:00:00,2274.752
18:00:00,2332.736
19:00:00,2248.064
20:00:00,2179.2
21:00:00,2146.304
22:00:00,2159.104
23:00:00,2128.384
2019-02-07 0:00,2091.776
1:00:00,2096
2:00:00,2075.2
3:00:00,2108.288
4:00:00,2142.976
5:00:00,2376.704
6:00:00,2560.704
7:00:00,2668.416
8:00:00,2841.472
9:00:00,3272.832
10:00:00,3084.416
11:00:00,3020.928
12:00:00,2778.24
13:00:00,2188.416
14:00:00,2230.848
15:00:00,2319.424
16:00:00,2524.8
17:00:00,2727.488
18:00:00,2812.8
19:00:00,2598.912
20:00:00,2670.912
21:00:00,3476.416
22:00:00,3573.568
23:00:00,3642.688
2019-02-08 0:00,3525.44
1:00:00,3531.136
2:00:00,3513.28
3:00:00,3511.808
4:00:00,3526.592
5:00:00,4211.52
6:00:00,4525.952
7:00:00,5063.04
8:00:00,5220.48
9:00:00,5001.984
10:00:00,4865.536
11:00:00,4799.616
12:00:00,4667.328
13:00:00,4730.048
14:00:00,4753.856
15:00:00,4666.304
16:00:00,4727.808
17:00:00,4750.4
18:00:00,0
19:00:00,4492.518
20:00:00,3592.932
21:00:00,3491.293
22:00:00,3001.547
23:00:00,2835.01
2019-02-09 0:00,2747.592
1:00:00,2783.194
2:00:00,2776.662
3:00:00,2763.152
4:00:00,2780.398
5:00:00,2826.7
6:00:00,2919.272
7:00:00,2923.612
8:00:00,2932.956
9:00:00,2857.88
10:00:00,2782.848
11:00:00,2658.824
12:00:00,2562.632
13:00:00,2608.872
14:00:00,2807.66
15:00:00,2894.588
16:00:00,3018.816
17:00:00,2997.312
18:00:00,3021.984
19:00:00,2950.128
20:00:00,2878.944
21:00:00,2929.064
22:00:00,2880.576
23:00:00,2881.616
2019-02-10 0:00,2837.992
1:00:00,2824.976
2:00:00,2814.272
3:00:00,2815.4
4:00:00,2882.408
5:00:00,2873.96
6:00:00,2968.016
7:00:00,2941.352
8:00:00,2908.152
9:00:00,2882.832
10:00:00,2730.928
11:00:00,2526.384
12:00:00,2542.84
13:00:00,2625.504
14:00:00,2666.936
15:00:00,2750.072
16:00:00,2808.08
17:00:00,2887.76
18:00:00,2960.864
19:00:00,2971.184
20:00:00,2950.4
21:00:00,2911.024
22:00:00,2749.696
23:00:00,2731.84
2019-02-11 0:00,2667.424
1:00:00,2733.936
2:00:00,2722.64
3:00:00,2789.44
4:00:00,2937.232
5:00:00,4112.672
6:00:00,4829.696
7:00:00,5349.088
8:00:00,5572.336
9:00:00,5326.784
10:00:00,5089.76
11:00:00,4992.176
12:00:00,4878.432
13:00:00,4824.624
14:00:00,4790.176
15:00:00,4893.408
16:00:00,4908.464
17:00:00,4895.744
18:00:00,4797.632
19:00:00,4460.432
20:00:00,3575.856
21:00:00,3292.384
22:00:00,2868.24
23:00:00,2808.624
2019-02-12 0:00,2736.112
1:00:00,2765.904
2:00:00,2741.92
3:00:00,2747.92
4:00:00,2785.264
5:00:00,3669.152
6:00:00,4699.712
7:00:00,5247.264
8:00:00,5184.512
9:00:00,5067.552
10:00:00,4974.592
11:00:00,4901.472
12:00:00,4832.128
13:00:00,4966.72
14:00:00,4913.824
15:00:00,4871.872
16:00:00,4904.064
17:00:00,4873.472
18:00:00,4781.824
19:00:00,4438.72
20:00:00,3506.72
21:00:00,3239.136
22:00:00,2913.024
23:00:00,2821.44
2019-02-13 0:00,2739.648
1:00:00,2748.608
2:00:00,2706.752
3:00:00,2704.16
4:00:00,2689.12
5:00:00,4019.872
6:00:00,4613.984
7:00:00,5135.168
8:00:00,5225.664
9:00:00,5147.424
10:00:00,4985.568
11:00:00,4923.136
12:00:00,4812.064
13:00:00,4794.912
14:00:00,4835.712
15:00:00,4852.576
16:00:00,4924.768
17:00:00,4851.136
18:00:00,4777.92
19:00:00,4452.128
20:00:00,3552.8
21:00:00,3277.984
22:00:00,2941.632
23:00:00,2848.736
2019-02-14 0:00,2816.256
1:00:00,2814.88
2:00:00,2797.76
3:00:00,2795.328
4:00:00,2809.6
5:00:00,3590.208
6:00:00,4613.664
7:00:00,5278.592
8:00:00,5384.288
9:00:00,5110.72
10:00:00,5080
11:00:00,4878.4
12:00:00,4791.328
13:00:00,4766.464
14:00:00,4647.264
15:00:00,4659.616
16:00:00,4657.664
17:00:00,4695.424
18:00:00,4671.2
19:00:00,4294.304
20:00:00,3428.096
21:00:00,3304.832
22:00:00,2859.2
23:00:00,2750.272
2019-02-15 0:00,2677.12
1:00:00,2675.52
2:00:00,2662.72
3:00:00,2663.936
4:00:00,2928.832
5:00:00,4320.512
6:00:00,4655.552
7:00:00,5068.992
8:00:00,5345.28
9:00:00,5462.272
10:00:00,5447.168
11:00:00,5415.296
12:00:00,5396.544
13:00:00,5129.152
14:00:00,5002.368
15:00:00,5331.776
16:00:00,5248.192
17:00:00,5096.32
18:00:00,4949.888
19:00:00,4433.408
20:00:00,3326.464
21:00:00,3132.48
22:00:00,2656.832
23:00:00,2571.392
2019-02-16 0:00,2547.52
1:00:00,2580.416
2:00:00,2687.872
3:00:00,2929.92
4:00:00,2914.944
5:00:00,3047.104
6:00:00,3125.952
7:00:00,3082.56
8:00:00,3101.888
9:00:00,3025.984
10:00:00,2930.624
11:00:00,2818.688
12:00:00,2750.016
13:00:00,2774.592
14:00:00,2907.52
15:00:00,2846.784
16:00:00,2612.416
17:00:00,2687.68
18:00:00,2654.72
19:00:00,2645.184
20:00:00,2569.216
21:00:00,2659.072
22:00:00,2569.344
23:00:00,2561.472
2019-02-17 0:00,2528.704
1:00:00,2487.808
2:00:00,2484.928
3:00:00,2479.104
4:00:00,2529.088
5:00:00,2526.272
6:00:00,2530.88
